id,title,original_title,original_language,overview,budget,revenue,runtime,release_date,genres,popularity,vote_average,vote_count
411405,Small Crimes,Small Crimes,en,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.",0.0,0.0,95.0,2017-04-28,"['Drama', 'Comedy', 'Thriller', 'Crime']",7.219022,5.8,55.0
42492,Up the Sandbox,Up the Sandbox,en,"A young wife and mother, bored with day-to-day life in New York City and neglected by her husband, slips into increasingly outrageous fantasies: her mother breaking into the apartment, an explorer's demonstration of tribal fertility music at a party causing strange transformations, and joining terrorists to plant explosives in the Statue of Liberty.",0.0,0.0,97.0,1972-12-21,"['Drama', 'Comedy']",0.13845,7.3,2.0
12143,Bad Lieutenant,Bad Lieutenant,en,"While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness.",1000000.0,2019469.0,96.0,1992-09-16,"['Crime', 'Drama']",6.417037,6.9,162.0
9976,Satan's Little Helper,Satan's Little Helper,en,A naïve young boy unknowingly becomes the pawn of a serial killer.,0.0,0.0,100.0,2004-01-01,"['Horror', 'Romance', 'Comedy']",2.233189,5.0,42.0
46761,Sitcom,Sitcom,fr,"The adventures of an upper-class suburban family abruptly confronted with the younger brother's discovery of his homosexuality, the elder sister's suicide attempt and sado-masochist tendencies, and the intrusion of a very free-spirited maid and her husband... And it all started with the arrival in the family of an innocent looking rat...",0.0,0.0,80.0,1998-05-27,"['Comedy', 'Drama', 'Thriller']",1.800582,6.4,27.0
268725,Nightlight,Nightlight,en,"Five friends play a game in a ""mysterious"" forest with a long history as a beacon for troubled young people contemplating suicide.",0.0,0.0,85.0,2015-03-27,"['Thriller', 'Horror']",2.219537,4.8,30.0
62297,Guernsey,Guernsey,nl,Guernsey is the story of a woman who suddenly looks at her own life and wonders how she became miles apart from the people she is closest to.,0.0,0.0,90.0,2005-08-25,['Drama'],0.793096,5.8,3.0
184885,The Bells,The Bells,en,"Mathias, an Alsatian innkeeper, murders a rich Pole staying at his inn But Mathias' conscience will not let him rest, and the murdered man's spirit drives the innkeeper nearly mad. The victim's brother calls for an inquest and brings with him a sideshow mesmerist supposedly able to read minds. Mathias, as burgomaster, is called upon to conduct the inquest, but under the intuitive eye of the mesmerist cannot resist torment of his own conscience.",0.0,0.0,68.0,1926-07-29,"['Drama', 'Crime', 'Horror']",0.061599,7.0,1.0
156145,"Due cuori, una cappella","Due cuori, una cappella",it,,0.0,0.0,0.0,1975-10-02,[],0.248739,6.0,3.0
306745,Freeheld,Freeheld,en,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,7000000.0,573335.0,103.0,2015-10-02,"['Romance', 'Drama']",4.955317,7.1,168.0
